Id,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,MoSold,SalePrice,TotalSF,Baths_Total,Age_Sold,PorchSF_Total
1,65.0,8450,7,2003,2003,706,150,856,1710,2,8,0,2,548,61,2,208500,2566,3.5,5,61
2,80.0,9600,6,1976,1976,978,284,1262,1262,2,6,1,2,460,0,5,181500,2524,2.5,31,298
3,68.0,11250,7,2001,2002,486,434,920,1786,2,6,1,2,608,42,9,223500,2706,3.5,7,42
4,60.0,9550,7,1915,1970,216,540,756,1717,1,7,1,3,642,35,2,140000,2473,2.0,91,307
5,84.0,14260,8,2000,2000,655,490,1145,2198,2,9,1,3,836,84,12,250000,3343,3.5,8,276
6,85.0,14115,5,1993,1995,732,64,796,1362,1,5,0,2,480,30,10,143000,2158,2.5,16,390
7,75.0,10084,8,2004,2005,1369,317,1686,1694,2,7,1,2,636,57,8,307000,3380,3.0,3,312
8,80.0,10382,7,1973,1973,859,216,1107,2090,2,7,2,2,484,204,11,200000,3197,3.5,36,667
9,51.0,6120,7,1931,1950,0,952,952,1774,2,8,2,2,468,0,4,129900,2726,2.0,77,295
10,50.0,7420,5,1939,1950,851,140,991,1077,1,5,2,1,205,4,1,118000,2068,2.0,69,4
11,70.0,11200,5,1965,1965,906,134,1040,1040,1,5,0,1,384,0,2,129500,2080,2.0,43,0
12,85.0,11924,9,2005,2006,998,177,1175,2324,3,11,2,3,736,21,7,345000,3499,4.0,1,168
13,71.0,12968,5,1962,1962,737,175,912,912,1,4,0,1,352,0,9,144000,1824,2.0,46,316
14,91.0,10652,7,2006,2007,0,1494,1494,1494,2,7,1,3,840,33,8,279500,2988,2.0,1,193
15,73.0,10920,6,1960,1960,733,520,1253,1253,1,5,1,1,352,213,5,157000,2506,2.5,48,389
16,51.0,6120,7,1929,2001,0,832,832,854,1,5,0,2,576,112,7,132000,1686,1.0,78,160
17,73.0,11241,6,1970,1970,578,426,1004,1004,1,5,1,2,480,0,3,149000,2008,2.0,40,0
18,72.0,10791,4,1967,1967,0,0,0,1296,2,6,0,2,516,0,10,90000,1296,2.0,39,0
19,66.0,13695,5,2004,2004,646,468,1114,1114,1,6,0,2,576,102,6,159000,2228,2.5,4,102
20,70.0,7560,5,1958,1965,504,525,1029,1339,1,6,0,1,294,0,5,139000,2368,1.0,51,0
21,101.0,14215,8,2005,2006,0,1158,1158,2376,3,9,1,3,853,154,11,325300,3534,3.5,1,394
22,57.0,7449,7,1930,1950,0,637,637,1108,1,6,1,1,280,0,6,139400,1745,1.0,77,205
23,75.0,9742,8,2002,2002,0,1777,1777,1795,2,7,1,2,534,159,9,230000,3572,2.0,6,330
24,44.0,4224,5,1976,1976,840,200,1040,1060,1,6,1,2,572,110,6,129900,2100,2.0,31,210
25,71.0,8246,5,1968,2001,188,204,1060,1060,1,6,1,1,270,90,5,154000,2120,2.0,42,496
26,110.0,14230,8,2007,2007,0,1566,1566,1600,2,7,1,3,890,56,7,256300,3166,2.0,2,56
27,60.0,7200,5,1951,2000,234,180,900,900,1,5,0,2,576,32,5,134800,1800,1.5,59,254
28,98.0,11478,8,2007,2008,1218,486,1704,1704,2,7,1,3,772,50,5,306000,3408,3.0,3,50
